word,CDC2013,CDC2014,CDC2015,CDC2016,ICML2013,ICML2014,ICML2015,ICML2016
agent,0.0007884813164209805,0.0008224045765004358,0.0008449523986871814,0.000893296333076559,4.577999963376e-05,3.861003861003861e-05,1.7645709445748267e-05,6.752023497041769e-05
demonstrate,0.00022168894983430466,0.0002301698343035811,0.0002537184888619911,0.00033643628128857415,0.0006683879946528961,0.0005482625482625483,0.0006440683947698117,0.0005739219972485505
input,0.000605645069134956,0.000553442073494004,0.0005912339098251903,0.000610225806751,0.00036623999707008,0.00023166023166023165,0.00014116567556598614,0.0003122810867381818
nonlinear system,0.0008501885498800137,0.0008275769323274826,0.0009310770233467564,0.0007703230716400456,0,0,0,0
convergence,0.000358816135298823,0.0005612006072345741,0.00042829543073950795,0.0005174157981196692,0.000265523997875808,0.00034749034749034747,0.0005117255739266998,0.0003629212629659951
error,0.00045937607130613645,0.00046292584652068557,0.0004608831265566444,0.0003944425366831559,0.000384551996923584,0.00023938223938223938,0.0005117255739266998,0.0004220014685651106
property,0.0004570906182150611,0.0005301664722722935,0.0005190754405158167,0.0004918930457460533,0.00023805599809555202,0.00044015444015444013,0.00024703993224047574,0.00037980132170859957
experimental result,0.00025597074620043424,0.00019654952142777711,0.0001769046344358837,0.00015777701467326237,0.00043948799648409605,0.0008957528957528958,0.0006352455400469376,0.0005401618797633415
model predictive control,0.0007541995200548508,0.0008689557789438567,0.0007960708549614767,0.0008352900776819772,0,0,0,0
variable,0.000276539824020112,0.0003336169508445164,0.00032122157305463094,0.00029235152718869205,0.000531047995751616,0.0005328185328185328,0.0005117255739266998,0.0004304414979364128
optimal control problem,0.0009461775797051765,0.0007448192390947343,0.00072624007821047,0.0006821535634402814,0,4.633204633204633e-05,5.29371283372448e-05,0
cost,0.00047308878985258826,0.0005327526501858169,0.0004515723563231768,0.0005034942968249696,0.000402863996777088,0.0002548262548262548,0.0002911542058548464,0.000278520969252973
lyapunov function,0.0007587704262370015,0.0010241264537552597,0.00072624007821047,0.0006775130630087148,0,0,0,0
technique,0.000441092446577534,0.0004163746440772647,0.0004003631200391052,0.00036891978430953994,0.000402863996777088,0.00047104247104247105,0.00033526847946921704,0.00033760117485208846
estimation,0.0004319506342132328,0.0005224079385317234,0.0005865785247084565,0.0005127752976881027,0.000265523997875808,0.0002702702702702703,0.00019410280390323094,0.00037136129233729734
space,0.000306250714204091,0.0003543063741527035,0.00027001233677055933,0.0003735602847411065,0.0005493599956051201,0.0005945945945945946,0.0003705598983607136,0.00032072111610948406
distributed,0.0005119414924008685,0.0005715453188886677,0.0006703754568096646,0.0006682320621455818,8.2403999340768e-05,0.00014671814671814672,0.000264685641686224,0.00020256070491125308
dynamical system,0.0005942178036795794,0.0006930956808242667,0.0005772677544749889,0.0007888850733663119,0.00021974399824204802,3.088803088803089e-05,0.00014116567556598614,6.752023497041769e-05
approximation,0.00025139984001828363,0.00029482428214166567,0.00022811387071995531,0.00028307052632555894,0.000384551996923584,0.000501930501930502,0.000599954121155441,0.0004979617329068305
setting,0.00013941263855559366,0.0001681015643790199,9.078000977630874e-05,0.00012993401208386313,0.000650075994799392,0.0005405405405405405,0.0006705369589384341,0.0006330022028476659
inference,1.599817163752714e-05,2.586177913523383e-05,3.026000325876958e-05,2.552275237361597e-05,0.000650075994799392,0.0006640926640926641,0.0009705140195161547,0.0006161221441050615
simulation result,0.0007222031767797966,0.0006724062575160796,0.0007634831591443402,0.000807447075092578,0,3.088803088803089e-05,0,0
simulation,0.0006764941149582905,0.000641372122553799,0.000682013919601499,0.0007053560655981142,6.409199948726401e-05,6.177606177606178e-05,9.705140195161547e-05,5.064017622781327e-05
efficient,0.000164552622557422,0.00013189507358969254,0.0001559554014105817,0.00014153526316277947,0.0005859839953121281,0.0006640926640926641,0.0006264226853240634,0.00044732155667901726
convex,0.00026282710547366017,0.0002896519263146189,0.00031423849537953025,0.0003387565315043574,0.000576827995385376,0.0003243243243243243,0.00032644562474634295,0.0004810816741642261
cost function,0.0006216432407724832,0.0006310274108997055,0.00047484928190684575,0.0005847030543773841,0.00021974399824204802,0,0.00014116567556598614,0.00023632082239646195
graph,0.0003336761512969946,0.0003336169508445164,0.000363120039105235,0.0004338867903514715,0.000265523997875808,0.0005096525096525096,0.0003705598983607136,0.0002954010279955774
numerical,0.00048680150839904013,0.0005612006072345741,0.0005376969809827518,0.0006496700604193156,0.00011902799904777601,0.00013127413127413129,0.00016763423973460852,0.00016036055805474203
convergence rate,0.00012798537310021712,0.00017586009811959005,0.0003072554177044296,0.0003248350302096578,0.000329615997363072,0.00040154440154440156,0.0006352455400469376,0.0004726416447929239
rate,0.00025825619929150957,0.0003232722391904229,0.00033984311352156605,0.00035035778258327377,0.00041201999670384,0.0003088803088803089,0.00039702846252933597,0.00037136129233729734
feedback,0.0006513541309564621,0.0005172355827046766,0.0006214939130839599,0.0005011740466091863,0.00010987199912102401,0.00015444015444015445,6.175998306011893e-05,0.00012660044056953318
scheme,0.0005210833047651697,0.0005068908710505831,0.0004632108191150113,0.0005591803020037681,0.00018311999853504,0.00018532818532818532,0.00022057136807185332,0.00010128035245562654
output,0.0004662324305793624,0.00048620144774239596,0.0005400246735411187,0.0004918930457460533,0.00029299199765606403,0.00011583011583011582,0.00014998853028886026,0.00016036055805474203
different,0.00034053251057022054,0.0003180998833633761,0.0003584646539885012,0.0003805210353884563,0.000329615997363072,0.0002702702702702703,0.0003176227700234688,0.00037980132170859957
